"Accession","Organism_Name","Organization","Org_location","Isolate","Molecule_type","Length","Nuc_Completeness","Country","Collection_Date","GenBank_Title","MMWRyear","MMWRweek","Collection_Season","Type","clade","G_clade","Collection_YearWeek","Collection_Date_dec"
"LR699315.1","Human respiratory syncytial virus A","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15276,"partial","United Kingdom",2018-01-11,"Human respiratory syncytial virus B cRNA",2018,2,"2017/2018","A","A.D.1","GA2.3.5","2018/02",2018.02739726027
"LR699734.1","Human respiratory syncytial virus A","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15275,"partial","United Kingdom",2018-01-18,"Human respiratory syncytial virus B cRNA",2018,3,"2017/2018","A","A.D","GA2.3.5","2018/03",2018.04657534247
"LR699736.1","Human respiratory syncytial virus A","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15276,"partial","United Kingdom",2018-01-08,"Human respiratory syncytial virus B cRNA",2018,2,"2017/2018","A","A.D.1","GA2.3.5","2018/02",2018.01917808219
"LR699737.1","Human respiratory syncytial virus A","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15274,"partial","United Kingdom",2017-12-19,"Human respiratory syncytial virus B cRNA",2017,51,"2017/2018","A","A.D.2.2.1","GA2.3.5","2017/51",2017.96438356164
"MT422269.1","Human respiratory syncytial virus A","Federal Research Center of Fundamental and Translational Medicine, Department of Experimental Modeling and Pathogenesis of Infectious Diseases","Russia","","ssRNA(-)",14935,"complete","Russia",2019-11-28,"Human respiratory syncytial virus A strain RSVA/Novosibirsk/108Hp/2019, complete genome",2019,48,"2019/2020","A","A.D.3","GA2.3.5","2019/48",2019.90684931507
"MT422270.1","Human respiratory syncytial virus A","Federal Research Center of Fundamental and Translational Medicine, Department of Experimental Modeling and Pathogenesis of Infectious Diseases","Russia","","ssRNA(-)",14963,"complete","Russia",2019-12-06,"Human respiratory syncytial virus A strain RSVA/Novosibirsk/138Hp/2019, complete genome",2019,49,"2019/2020","A","A.D.3","GA2.3.5","2019/49",2019.92876712329
"MT422271.1","Human respiratory syncytial virus A","Federal Research Center of Fundamental and Translational Medicine, Department of Experimental Modeling and Pathogenesis of Infectious Diseases","Russia","","ssRNA(-)",14961,"complete","Russia",2019-12-12,"Human respiratory syncytial virus A strain RSVA/Novosibirsk/893Hp/2019, complete genome",2019,50,"2019/2020","A","A.D.3","GA2.3.5","2019/50",2019.94520547945
"MT422272.1","Human respiratory syncytial virus A","Federal Research Center of Fundamental and Translational Medicine, Department of Experimental Modeling and Pathogenesis of Infectious Diseases","Russia","","ssRNA(-)",14961,"complete","Russia",2019-12-12,"Human respiratory syncytial virus A strain RSVA/Novosibirsk/893Hl/2019, complete genome",2019,50,"2019/2020","A","A.D.3","GA2.3.5","2019/50",2019.94520547945
"MT422273.1","Human respiratory syncytial virus A","Federal Research Center of Fundamental and Translational Medicine, Department of Experimental Modeling and Pathogenesis of Infectious Diseases","Russia","","ssRNA(-)",14961,"complete","Russia",2019-12-02,"Human respiratory syncytial virus A strain RSVA/Novosibirsk/1125Hp/2019, complete genome",2019,49,"2019/2020","A","A.D.3","GA2.3.5","2019/49",2019.91780821918
"MW582528.1","Human respiratory syncytial virus A","RIZ, University of Veterinary Medicine","Germany","594","ssRNA(-)",15277,"complete","Germany",2015-03-15,"Human respiratory syncytial virus A isolate 0594, complete genome",2015,11,"2014/2015","A","A.D","GA2.3.5","2015/11",2015.2
