"Accession","Organism_Name","Organization","Org_location","Isolate","Molecule_type","Length","Nuc_Completeness","Country","Collection_Date","GenBank_Title"
"PP376842.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340101018","ssRNA(-)",15070,"partial","Spain",2017-12-01,"Human respiratory syncytial virus B isolate 340101018, partial genome"
"PP376844.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310102047","ssRNA(-)",15223,"complete","Netherlands",2019-01-10,"Human respiratory syncytial virus B isolate 310102047, complete genome"
"PP376845.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310102046","ssRNA(-)",15222,"complete","Netherlands",2019-01-10,"Human respiratory syncytial virus B isolate 310102046, complete genome"
"PP376847.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310103044","ssRNA(-)",15223,"complete","Netherlands",2019-12-10,"Human respiratory syncytial virus B isolate 310103044, complete genome"
"PP376848.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","440103042","ssRNA(-)",15178,"complete","United Kingdom",2019-12-10,"Human respiratory syncytial virus B isolate 440103042, complete genome"
"PP376850.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340103033","ssRNA(-)",15222,"complete","Spain",2020-02-10,"Human respiratory syncytial virus B isolate 340103033, complete genome"
"PP376856.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310101015","ssRNA(-)",15222,"complete","Netherlands",2017-12-11,"Human respiratory syncytial virus B isolate 310101015, complete genome"
"PP376857.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310103041","ssRNA(-)",15222,"complete","Netherlands",2019-12-11,"Human respiratory syncytial virus B isolate 310103041, complete genome"
"PP376861.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102033","ssRNA(-)",15223,"complete","Germany",2019-03-11,"Human respiratory syncytial virus B isolate 490102033, complete genome"
"PP376862.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358102010","ssRNA(-)",15222,"complete","Finland",2019-03-11,"Human respiratory syncytial virus B isolate 358102010, complete genome"
"PP376867.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102003","ssRNA(-)",15222,"complete","Germany",2019-01-12,"Human respiratory syncytial virus B isolate 490102003, complete genome"
"PP376868.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310102023","ssRNA(-)",15222,"complete","Netherlands",2018-12-12,"Human respiratory syncytial virus B isolate 310102023, complete genome"
"PP376869.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","440102029","ssRNA(-)",15222,"complete","United Kingdom",2018-12-12,"Human respiratory syncytial virus B isolate 440102029, complete genome"
"PP376870.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310103038","ssRNA(-)",15222,"complete","Netherlands",2019-12-12,"Human respiratory syncytial virus B isolate 310103038, complete genome"
"PP376871.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340102040","ssRNA(-)",15223,"complete","Spain",2019-02-12,"Human respiratory syncytial virus B isolate 340102040, complete genome"
"PP376872.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","440101002","ssRNA(-)",15222,"complete","United Kingdom",2018-03-12,"Human respiratory syncytial virus B isolate 440101002, complete genome"
"PP376877.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310103058","ssRNA(-)",15221,"complete","Netherlands",2019-11-13,"Human respiratory syncytial virus B isolate 310103058, complete genome"
"PP376878.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340102005","ssRNA(-)",15222,"complete","Spain",2018-12-13,"Human respiratory syncytial virus B isolate 340102005, complete genome"
"PP376879.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310102051","ssRNA(-)",15223,"complete","Netherlands",2019-02-13,"Human respiratory syncytial virus B isolate 310102051, complete genome"
"PP376880.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358101042","ssRNA(-)",15221,"complete","Finland",2018-03-13,"Human respiratory syncytial virus B isolate 358101042, complete genome"
"PP376881.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358103049","ssRNA(-)",15180,"complete","Finland",2020-03-13,"Human respiratory syncytial virus B isolate 358103049, complete genome"
"PP376886.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102001","ssRNA(-)",15222,"complete","Germany",2019-01-14,"Human respiratory syncytial virus B isolate 490102001, complete genome"
"PP376887.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340102022","ssRNA(-)",15222,"complete","Spain",2019-01-14,"Human respiratory syncytial virus B isolate 340102022, complete genome"
"PP376888.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","330103001","ssRNA(-)",15220,"complete","France",2019-10-14,"Human respiratory syncytial virus B isolate 330103001, complete genome"
"PP376889.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340101001","ssRNA(-)",15222,"complete","Spain",2017-11-14,"Human respiratory syncytial virus B isolate 340101001, complete genome"
"PP376891.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358101002","ssRNA(-)",15219,"complete","Finland",2017-12-14,"Human respiratory syncytial virus B isolate 358101002, complete genome"
"PP376892.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310102026","ssRNA(-)",15221,"complete","Netherlands",2018-12-14,"Human respiratory syncytial virus B isolate 310102026, complete genome"
"PP376898.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310102004","ssRNA(-)",15222,"complete","Netherlands",2018-11-15,"Human respiratory syncytial virus B isolate 310102004, complete genome"
"PP376899.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340101034","ssRNA(-)",15222,"complete","Spain",2017-12-15,"Human respiratory syncytial virus B isolate 340101034, complete genome"
"PP376901.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358102011","ssRNA(-)",15222,"complete","Finland",2019-03-15,"Human respiratory syncytial virus B isolate 358102011, complete genome"
"PP376906.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358101016","ssRNA(-)",15221,"complete","Finland",2018-01-16,"Human respiratory syncytial virus B isolate 358101016, complete genome"
"PP376907.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102006","ssRNA(-)",15222,"complete","Germany",2019-01-16,"Human respiratory syncytial virus B isolate 490102006, complete genome"
"PP376908.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102005","ssRNA(-)",15222,"complete","Germany",2019-01-16,"Human respiratory syncytial virus B isolate 490102005, complete genome"
"PP376909.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","440102002","ssRNA(-)",15222,"complete","United Kingdom",2018-10-16,"Human respiratory syncytial virus B isolate 440102002, complete genome"
"PP376910.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310101006","ssRNA(-)",15222,"complete","Netherlands",2017-11-16,"Human respiratory syncytial virus B isolate 310101006, complete genome"
"PP376912.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310102027","ssRNA(-)",15222,"complete","Netherlands",2018-12-16,"Human respiratory syncytial virus B isolate 310102027, complete genome"
"PP376913.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310102031","ssRNA(-)",15223,"complete","Netherlands",2018-12-16,"Human respiratory syncytial virus B isolate 310102031, complete genome"
"PP376914.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340103018","ssRNA(-)",15222,"complete","Spain",2019-12-16,"Human respiratory syncytial virus B isolate 340103018, complete genome"
"PP376915.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358101044","ssRNA(-)",15222,"complete","Finland",2018-03-16,"Human respiratory syncytial virus B isolate 358101044, complete genome"
"PP376921.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310101063","ssRNA(-)",15224,"complete","Netherlands",2018-01-17,"Human respiratory syncytial virus B isolate 310101063, complete genome"
"PP376922.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","440102003","ssRNA(-)",15221,"complete","United Kingdom",2018-10-17,"Human respiratory syncytial virus B isolate 440102003, complete genome"
"PP376925.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310102028","ssRNA(-)",15221,"complete","Netherlands",2018-12-17,"Human respiratory syncytial virus B isolate 310102028, complete genome"
"PP376926.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","70103043","ssRNA(-)",15223,"complete","Russia",2020-03-17,"Human respiratory syncytial virus B isolate 070103043, complete genome"
"PP376927.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","70103044","ssRNA(-)",15178,"complete","Russia",2020-03-17,"Human respiratory syncytial virus B isolate 070103044, complete genome"
"PP376938.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310101022","ssRNA(-)",15223,"complete","Netherlands",2017-12-18,"Human respiratory syncytial virus B isolate 310101022, complete genome"
"PP376939.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340101039","ssRNA(-)",15223,"complete","Spain",2017-12-18,"Human respiratory syncytial virus B isolate 340101039, complete genome"
"PP376940.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310103024","ssRNA(-)",15221,"complete","Netherlands",2019-12-18,"Human respiratory syncytial virus B isolate 310103024, complete genome"
"PP376942.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","70103028","ssRNA(-)",15179,"complete","Russia",2020-02-18,"Human respiratory syncytial virus B isolate 070103028, complete genome"
"PP376946.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","330103016","ssRNA(-)",15223,"complete","France",2019-11-19,"Human respiratory syncytial virus B isolate 330103016, complete genome"
"PP376947.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340103003","ssRNA(-)",15222,"complete","Spain",2019-11-19,"Human respiratory syncytial virus B isolate 340103003, complete genome"
"PP376948.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310103054","ssRNA(-)",15222,"complete","Netherlands",2019-11-19,"Human respiratory syncytial virus B isolate 310103054, complete genome"
