"Accession","Organism_Name","Organization","Org_location","Isolate","Molecule_type","Length","Nuc_Completeness","Country","Collection_Date","GenBank_Title","MMWRyear","MMWRweek","Collection_Season","Type","clade","G_clade"
"KY249681.1","Human respiratory syncytial virus B","Public Health England National Infection Services, Reference Microbiology","United Kingdom","RSVB/England138/2016","ssRNA(-)",15247,"complete","United Kingdom",2016-01-05,"Human respiratory syncytial virus B isolate RSVB/England138/2016, complete genome",2016,1,"2015/2016","B","B.D.4.1","GB5.0.5a"
"KY249682.1","Human respiratory syncytial virus B","Public Health England National Infection Services, Reference Microbiology","United Kingdom","RSVB/England136/2016","ssRNA(-)",15226,"complete","United Kingdom",2016-01-10,"Human respiratory syncytial virus B isolate RSVB/England136/2016, complete genome",2016,2,"2015/2016","B","B.D.4.1","GB5.0.5a"
"KY249683.1","Human respiratory syncytial virus B","Public Health England National Infection Services, Reference Microbiology","United Kingdom","RSVB/England133/2016","ssRNA(-)",15223,"complete","United Kingdom",2016-01-04,"Human respiratory syncytial virus B isolate RSVB/England133/2016, complete genome",2016,1,"2015/2016","B","B.D.4.1","GB5.0.5a"
"LR699726.1","Human respiratory syncytial virus B","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15275,"partial","United Kingdom",2017-12-21,"Human respiratory syncytial virus B cRNA",2017,51,"2017/2018","B","B.D.4.1","GB5.0.5a"
"LR699735.1","Human respiratory syncytial virus B","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15276,"partial","United Kingdom",2017-12-20,"Human respiratory syncytial virus B cRNA",2017,51,"2017/2018","B","B.D.4.1","GB5.0.5a"
"LR699738.1","Human respiratory syncytial virus B","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15274,"partial","Spain",2018-01-03,"Human respiratory syncytial virus B cRNA",2018,1,"2017/2018","B","B.D.4.1","GB5.0.5a"
"LR699739.1","Human respiratory syncytial virus B","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15274,"partial","Spain",2018-01-08,"Human respiratory syncytial virus B cRNA",2018,2,"2017/2018","B","B.D.4.1","GB5.0.5a"
"LR699740.1","Human respiratory syncytial virus B","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15274,"partial","Spain",2018-01-16,"Human respiratory syncytial virus B cRNA",2018,3,"2017/2018","B","B.D.4.1","GB5.0.5a"
"LR699741.1","Human respiratory syncytial virus B","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15271,"partial","Spain",2017-12-15,"Human respiratory syncytial virus B cRNA",2017,50,"2017/2018","B","B.D.4.1","GB5.0.5a"
"LR699742.1","Human respiratory syncytial virus B","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15276,"partial","Spain",2017-12-01,"Human respiratory syncytial virus B cRNA",2017,48,"2017/2018","B","B.D.4.1","GB5.0.5a"
"LR699743.1","Human respiratory syncytial virus B","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15276,"partial","Spain",2018-01-29,"Human respiratory syncytial virus B cRNA",2018,5,"2017/2018","B","B.D.4.1","GB5.0.5a"
"LR699744.1","Human respiratory syncytial virus B","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15276,"partial","Spain",2017-12-20,"Human respiratory syncytial virus B cRNA",2017,51,"2017/2018","B","B.D.4.1.1","GB5.0.5a"
"MK481079.1","Human respiratory syncytial virus B","Federal Research Center of Fundamental and Translational Medicine, Department of Experimental Modeling and Infectious Diseases Pathogenesis","Russia","","ssRNA(-)",15155,"complete","Russia",2018-03-19,"Human respiratory syncytial virus B strain RSVB/Novosibirsk/50Hp/2018, complete genome",2018,12,"2017/2018","B","B.D.4.1.1","GB5.0.5a"
"MK534510.1","Human respiratory syncytial virus B","Federal Research Center of Fundamental and Translational Medicine, Department of experimental modeling and infectious diseases pathogenesis","Russia","","ssRNA(-)",15155,"complete","Russia",2018-03-19,"Human respiratory syncytial virus B strain RSVB/Novosibirsk/50Hl/2018, complete genome",2018,12,"2017/2018","B","B.D.4.1.1","GB5.0.5a"
"MK534511.1","Human respiratory syncytial virus B","Federal Research Center of Fundamental and Translational Medicine, Department of experimental modeling and infectious diseases pathogenesis","Russia","","ssRNA(-)",15154,"complete","Russia",2018-03-22,"Human respiratory syncytial virus B strain RSVB/Novosibirsk/66Hp/2018, complete genome",2018,12,"2017/2018","B","B.D.4.1.1","GB5.0.5a"
"MK534512.1","Human respiratory syncytial virus B","Federal Research Center of Fundamental and Translational Medicine, Department of experimental modeling and infectious diseases pathogenesis","Russia","","ssRNA(-)",15154,"complete","Russia",2018-03-22,"Human respiratory syncytial virus B strain RSVB/Novosibirsk/66Hl/2018, complete genome",2018,12,"2017/2018","B","B.D.4.1.1","GB5.0.5a"
"MT373703.1","Human respiratory syncytial virus B","Federal Research Center of Fundamental and Translational Medicine, Department of Experimental Modeling and Pathogenesis of Infectious Diseases","Russia","","ssRNA(-)",15155,"complete","Russia",2019-03-14,"Human respiratory syncytial virus B strain RSVB/Novosibirsk/242/2019, complete genome",2019,11,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"MT373704.1","Human respiratory syncytial virus B","Federal Research Center of Fundamental and Translational Medicine, Department of Experimental Modeling and Pathogenesis of Infectious Diseases","Russia","","ssRNA(-)",15155,"complete","Russia",2019-04-03,"Human respiratory syncytial virus B strain RSVB/Novosibirsk/293/2019, complete genome",2019,14,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"MT373705.1","Human respiratory syncytial virus B","Federal Research Center of Fundamental and Translational Medicine, Department of Experimental Modeling and Pathogenesis of Infectious Diseases","Russia","","ssRNA(-)",15155,"complete","Russia",2019-01-20,"Human respiratory syncytial virus B strain RSVB/Novosibirsk/5019/2019, complete genome",2019,4,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"MZ151849.1","Human respiratory syncytial virus B","The Federal Research Center of Fundamental and Translational Medicine, Eurasian Institute of zoonotic infections","Russia","","ssRNA(-)",15154,"complete","Russia",2019-11-20,"Human respiratory syncytial virus B strain RSVB/Novosibirsk/76Hp/2019, complete genome",2019,47,"2019/2020","B","B.D.4.1.1","GB5.0.5a"
"MZ151850.1","Human respiratory syncytial virus B","The Federal Research Center of Fundamental and Translational Medicine, Eurasian Institute of zoonotic infections","Russia","","ssRNA(-)",15155,"complete","Russia",2019-11-27,"Human respiratory syncytial virus B strain RSVB/Novosibirsk/103Hp/2019, complete genome",2019,48,"2019/2020","B","B.D.4.1.1","GB5.0.5a"
"MZ151851.1","Human respiratory syncytial virus B","The Federal Research Center of Fundamental and Translational Medicine, Eurasian Institute of zoonotic infections","Russia","","ssRNA(-)",14983,"complete","Russia",2019-11-19,"Human respiratory syncytial virus B strain RSVB/Novosibirsk/73Hp/2019, complete genome",2019,47,"2019/2020","B","B.D.4.1.1","GB5.0.5a"
"MZ151856.1","Human respiratory syncytial virus B","The Federal Research Center of Fundamental and Translational Medicine, Eurasian Institute of zoonotic infections","Russia","","ssRNA(-)",15156,"complete","Russia",2020-01-30,"Human respiratory syncytial virus B strain RSVB/Novosibirsk/8.59Hl/2020, complete genome",2020,5,"2019/2020","B","B.D.4.1.1","GB5.0.5a"
"MZ515552.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0043-D06","ssRNA(-)",15293,"partial","Netherlands",2018-01-30,"Human respiratory syncytial virus B isolate UU02-0043-D06, partial genome",2018,5,"2017/2018","B","B.D.4.1","GB5.0.5a"
"MZ515553.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX01A-8711-V02","ssRNA(-)",15275,"complete","United Kingdom",2019-10-31,"Human respiratory syncytial virus B isolate OX01A-8711-V02, complete genome",2019,44,"2019/2020","B","B.D.4.1.1","GB5.0.5a"
"MZ515554.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0022-V01","ssRNA(-)",15230,"complete","Netherlands",2017-12-20,"Human respiratory syncytial virus B isolate UU02-0022-V01, complete genome",2017,51,"2017/2018","B","B.D.4.1","GB5.0.5a"
"MZ515557.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8739-V01","ssRNA(-)",15272,"complete","United Kingdom",2018-11-27,"Human respiratory syncytial virus B isolate OX02-8739-V01, complete genome",2018,48,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"MZ515558.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0034-V02","ssRNA(-)",15273,"complete","Netherlands",2018-11-20,"Human respiratory syncytial virus B isolate UU01A-0034-V02, complete genome",2018,47,"2018/2019","B","B.D.E.2","GB5.0.5a"
"MZ515560.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0076-V01","ssRNA(-)",15274,"complete","Netherlands",2019-01-02,"Human respiratory syncytial virus B isolate UU02-0076-V01, complete genome",2019,1,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"MZ515561.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX03-0310-V02","ssRNA(-)",15275,"complete","United Kingdom",2019-02-04,"Human respiratory syncytial virus B isolate OX03-0310-V02, complete genome",2019,6,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"MZ515562.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0035-D02","ssRNA(-)",15276,"complete","Netherlands",2018-01-10,"Human respiratory syncytial virus B isolate UU02-0035-D02, complete genome",2018,2,"2017/2018","B","B.D.4.1.1","GB5.0.5a"
"MZ515563.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0088-V01","ssRNA(-)",15228,"partial","Netherlands",2018-12-14,"Human respiratory syncytial virus B isolate UU02-0088-V01, partial genome",2018,50,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"MZ515565.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0043-V01","ssRNA(-)",15275,"complete","Netherlands",2018-01-25,"Human respiratory syncytial virus B isolate UU02-0043-V01, complete genome",2018,4,"2017/2018","B","B.D.4.1","GB5.0.5a"
"MZ515574.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0071-V01","ssRNA(-)",15269,"complete","Netherlands",2018-12-19,"Human respiratory syncytial virus B isolate UU02-0071-V01, complete genome",2018,51,"2018/2019","B","B.D.4.1","GB5.0.5a"
"MZ515578.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0007-V01","ssRNA(-)",15272,"complete","Netherlands",2017-11-24,"Human respiratory syncytial virus B isolate UU02-0007-V01, complete genome",2017,47,"2017/2018","B","B.D.4.1","GB5.0.5a"
"MZ515581.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0150-V01","ssRNA(-)",15272,"complete","Netherlands",2019-11-08,"Human respiratory syncytial virus B isolate UU02-0150-V01, complete genome",2019,45,"2019/2020","B","B.D.4.1.1","GB5.0.5a"
"MZ515584.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8327-V01","ssRNA(-)",15276,"complete","United Kingdom",2018-11-21,"Human respiratory syncytial virus B isolate OX02-8327-V01, complete genome",2018,47,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"MZ515586.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0056-V01","ssRNA(-)",15258,"complete","Netherlands",2018-11-22,"Human respiratory syncytial virus B isolate UU02-0056-V01, complete genome",2018,47,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"MZ515587.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0029-D06","ssRNA(-)",15275,"complete","Netherlands",2018-01-08,"Human respiratory syncytial virus B isolate UU02-0029-D06, complete genome",2018,2,"2017/2018","B","B.D.4.1","GB5.0.5a"
"MZ515589.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8832-D06","ssRNA(-)",15277,"partial","United Kingdom",2018-11-03,"Human respiratory syncytial virus B isolate OX02-8832-D06, partial genome",2018,44,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"MZ515590.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8523-V01","ssRNA(-)",15275,"complete","United Kingdom",2019-12-05,"Human respiratory syncytial virus B isolate OX02-8523-V01, complete genome",2019,49,"2019/2020","B","B.D.4.1.1","GB5.0.5a"
"MZ515591.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX01A-8972-V02","ssRNA(-)",15277,"complete","United Kingdom",2018-11-27,"Human respiratory syncytial virus B isolate OX01A-8972-V02, complete genome",2018,48,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"MZ515594.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","IM02-0004-D05","ssRNA(-)",15232,"complete","United Kingdom",2018-11-27,"Human respiratory syncytial virus B isolate IM02-0004-D05, complete genome",2018,48,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"MZ515595.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0160-V02","ssRNA(-)",15274,"complete","Netherlands",2019-12-17,"Human respiratory syncytial virus B isolate UU01A-0160-V02, complete genome",2019,51,"2019/2020","B","B.D.4.1.1","GB5.0.5a"
"MZ515596.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8301-D02","ssRNA(-)",15275,"complete","United Kingdom",2018-11-15,"Human respiratory syncytial virus B isolate OX02-8301-D02, complete genome",2018,46,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"MZ515598.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0051-V01","ssRNA(-)",15270,"complete","Netherlands",2018-03-27,"Human respiratory syncytial virus B isolate UU02-0051-V01, complete genome",2018,13,"2017/2018","B","B.D.4.1.1","GB5.0.5a"
"MZ515599.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0142-V02","ssRNA(-)",15274,"complete","Netherlands",2019-12-12,"Human respiratory syncytial virus B isolate UU01A-0142-V02, complete genome",2019,50,"2019/2020","B","B.D.4.1.1","GB5.0.5a"
"MZ515601.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8832-D07","ssRNA(-)",15234,"partial","United Kingdom",2018-11-04,"Human respiratory syncytial virus B isolate OX02-8832-D07, partial genome",2018,45,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"MZ515603.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0018-V01","ssRNA(-)",15272,"complete","Netherlands",2017-12-19,"Human respiratory syncytial virus B isolate UU02-0018-V01, complete genome",2017,51,"2017/2018","B","B.D.4.1","GB5.0.5a"
"MZ515605.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0069-V02","ssRNA(-)",15275,"complete","Netherlands",2019-01-15,"Human respiratory syncytial virus B isolate UU01A-0069-V02, complete genome",2019,3,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"MZ515607.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8961-D02","ssRNA(-)",15275,"complete","United Kingdom",2019-11-10,"Human respiratory syncytial virus B isolate OX02-8961-D02, complete genome",2019,46,"2019/2020","B","B.D.4.1.1","GB5.0.5a"
"MZ515608.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0004-V01","ssRNA(-)",15274,"complete","Spain",2019-01-03,"Human respiratory syncytial virus B isolate SE02-0004-V01, complete genome",2019,1,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"MZ515610.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8521-V01","ssRNA(-)",15252,"partial","United Kingdom",2018-11-16,"Human respiratory syncytial virus B isolate OX02-8521-V01, partial genome",2018,46,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"MZ515611.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0043-D02","ssRNA(-)",15276,"complete","Netherlands",2018-01-26,"Human respiratory syncytial virus B isolate UU02-0043-D02, complete genome",2018,4,"2017/2018","B","B.D.4.1","GB5.0.5a"
"MZ515612.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0013-V01","ssRNA(-)",15275,"complete","Netherlands",2017-12-08,"Human respiratory syncytial virus B isolate UU02-0013-V01, complete genome",2017,49,"2017/2018","B","B.D.4.1.1","GB5.0.5a"
"MZ515613.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","IM02-0002-V01","ssRNA(-)",15275,"complete","United Kingdom",2018-11-21,"Human respiratory syncytial virus B isolate IM02-0002-V01, complete genome",2018,47,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"MZ515615.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0023-V01","ssRNA(-)",15269,"partial","Netherlands",2017-12-20,"Human respiratory syncytial virus B isolate UU02-0023-V01, partial genome",2017,51,"2017/2018","B","B.D.4.1.1","GB5.0.5a"
"MZ515622.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8961-D06","ssRNA(-)",15231,"complete","United Kingdom",2019-11-14,"Human respiratory syncytial virus B isolate OX02-8961-D06, complete genome",2019,46,"2019/2020","B","B.D.4.1.1","GB5.0.5a"
"MZ515624.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0006-D07","ssRNA(-)",14727,"partial","Netherlands",2017-11-24,"Human respiratory syncytial virus B isolate UU02-0006-D07, partial genome",2017,47,"2017/2018","B","B.D.4.1","GB5.0.5a"
"MZ515625.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0044-D05","ssRNA(-)",15274,"complete","Netherlands",2018-01-30,"Human respiratory syncytial virus B isolate UU02-0044-D05, complete genome",2018,5,"2017/2018","B","B.D.4.1.1","GB5.0.5a"
"MZ515627.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8710-V01","ssRNA(-)",15275,"complete","United Kingdom",2018-10-25,"Human respiratory syncytial virus B isolate OX02-8710-V01, complete genome",2018,43,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
