"","Accession","Organism_Name","Organization","Isolate","Molecule_type","Length","Nuc_Completeness","Country","Collection_Date","GenBank_Title","Collection_Year","Collection_Month","MMWRyear","MMWRweek","MMWRday","Collection_Season","Type","clade","G_clade"
"136","AY353550.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","GB1"
"12","MZ568932.1","Human respiratory syncytial virus B","Robert Koch Insitut","GER/316/16-17","ssRNA(-)",15242,"complete","Germany",2016-10-31,"Human respiratory syncytial virus B isolate GER/316/16-17, complete genome",2016,10,2016,44,2,"2016/2017","B","B.D.4.1","GB5.0.5a"
"13","MZ568937.1","Human respiratory syncytial virus B","Robert Koch Insitut","GER/416/16-17","ssRNA(-)",15141,"complete","Germany",2016-11-07,"Human respiratory syncytial virus B isolate GER/416/16-17, complete genome",2016,11,2016,45,2,"2016/2017","B","B.D.4.1.1","GB5.0.5a"
"7","MZ568949.1","Human respiratory syncytial virus B","Robert Koch Insitut","GER/987/15-16","ssRNA(-)",15135,"complete","Germany",2015-12-28,"Human respiratory syncytial virus B isolate GER/987/15-16, complete genome",2015,12,2015,52,2,"2015/2016","B","B.D.4.1","GB5.0.5a"
"8","MZ568951.1","Human respiratory syncytial virus B","Robert Koch Insitut","GER/1122/15-16","ssRNA(-)",15142,"complete","Germany",2016-01-11,"Human respiratory syncytial virus B isolate GER/1122/15-16, complete genome",2016,1,2016,2,2,"2015/2016","B","B.D.4.1","GB5.0.5a"
"16","MZ568957.1","Human respiratory syncytial virus B","Robert Koch Insitut","GER/1324/17-18","ssRNA(-)",15131,"complete","Germany",2017-12-21,"Human respiratory syncytial virus B isolate GER/1324/17-18, complete genome",2017,12,2017,51,5,"2017/2018","B","B.D.4.1","GB5.0.5a"
"26","MZ568959.1","Human respiratory syncytial virus B","Robert Koch Insitut","GER/1626/18-19","ssRNA(-)",15138,"complete","Germany",2019-01-17,"Human respiratory syncytial virus B isolate GER/1626/18-19, complete genome",2019,1,2019,3,5,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"30","MZ568960.1","Human respiratory syncytial virus B","Robert Koch Insitut","GER/1666/18-19","ssRNA(-)",15240,"complete","Germany",2019-01-23,"Human respiratory syncytial virus B isolate GER/1666/18-19, complete genome",2019,1,2019,4,4,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"34","MZ568961.1","Human respiratory syncytial virus B","Robert Koch Insitut","GER/1793/18-19","ssRNA(-)",15172,"complete","Germany",2019-01-28,"Human respiratory syncytial virus B isolate GER/1793/18-19, complete genome",2019,1,2019,5,2,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"35","MZ568964.1","Human respiratory syncytial virus B","Robert Koch Insitut","GER/1876/18-19","ssRNA(-)",15136,"complete","Germany",2019-01-28,"Human respiratory syncytial virus B isolate GER/1876/18-19, complete genome",2019,1,2019,5,2,"2018/2019","B","B.D.4.1","GB5.0.5a"
"14","MZ568965.1","Human respiratory syncytial virus B","Robert Koch Insitut","GER/1912/16-17","ssRNA(-)",15241,"complete","Germany",2017-01-13,"Human respiratory syncytial virus B isolate GER/1912/16-17, complete genome",2017,1,2017,2,6,"2016/2017","B","B.D.4.1","GB5.0.5a"
"1","MZ568966.1","Human respiratory syncytial virus B","Robert Koch Insitut","GER/1922/14-15","ssRNA(-)",15144,"complete","Germany",2015-01-21,"Human respiratory syncytial virus B isolate GER/1922/14-15, complete genome",2015,1,2015,3,4,"2014/2015","B","B.D.4.1","GB5.0.5a"
"9","MZ568968.1","Human respiratory syncytial virus B","Robert Koch Insitut","GER/1994/15-16","ssRNA(-)",15019,"complete","Germany",2016-02-16,"Human respiratory syncytial virus B isolate GER/1994/15-16, complete genome",2016,2,2016,7,3,"2015/2016","B","B.D.4.1","GB5.0.5a"
"17","MZ568974.1","Human respiratory syncytial virus B","Robert Koch Insitut","GER/2249/17-18","ssRNA(-)",15242,"complete","Germany",2018-01-22,"Human respiratory syncytial virus B isolate GER/2249/17-18, complete genome",2018,1,2018,4,2,"2017/2018","B","B.D.4.1","GB5.0.5a"
"15","MZ568978.1","Human respiratory syncytial virus B","Robert Koch Insitut","GER/2421/16-17","ssRNA(-)",15158,"complete","Germany",2017-01-24,"Human respiratory syncytial virus B isolate GER/2421/16-17, complete genome",2017,1,2017,4,3,"2016/2017","B","B.D.4.1","GB5.0.5a"
"2","MZ568985.1","Human respiratory syncytial virus B","Robert Koch Insitut","GER/2689/14-15","ssRNA(-)",15130,"complete","Germany",2015-02-09,"Human respiratory syncytial virus B isolate GER/2689/14-15, complete genome",2015,2,2015,6,2,"2014/2015","B","B.D.4.1","GB5.0.5a"
"10","MZ568986.1","Human respiratory syncytial virus B","Robert Koch Insitut","GER/2699/15-16","ssRNA(-)",15224,"complete","Germany",2016-03-01,"Human respiratory syncytial virus B isolate GER/2699/15-16, complete genome",2016,3,2016,9,3,"2015/2016","B","B.D.4.1.1","GB5.0.5a"
"3","MZ568989.1","Human respiratory syncytial virus B","Robert Koch Insitut","GER/2876/14-15","ssRNA(-)",15120,"complete","Germany",2015-02-11,"Human respiratory syncytial virus B isolate GER/2876/14-15, complete genome",2015,2,2015,6,4,"2014/2015","B","B.D.4.1","GB5.0.5a"
"4","MZ568996.1","Human respiratory syncytial virus B","Robert Koch Insitut","GER/3371/14-15","ssRNA(-)",15132,"complete","Germany",2015-02-23,"Human respiratory syncytial virus B isolate GER/3371/14-15, complete genome",2015,2,2015,8,2,"2014/2015","B","B.D.1.1","GB5.0.2"
