"","Accession","Organism_Name","Organization","Isolate","Molecule_type","Length","Nuc_Completeness","Country","Collection_Date","GenBank_Title","Collection_Year","Collection_Month","MMWRyear","MMWRweek","MMWRday","Collection_Season","Type","clade","G_clade"
"3","MW582528.1","Human respiratory syncytial virus A","RIZ, University of Veterinary Medicine","0594","ssRNA(-)",15277,"complete","Germany",2015-03-15,"Human respiratory syncytial virus A isolate 0594, complete genome",2015,3,2015,11,1,"2014/2015","A","A.D","GA2.3.5"
"170","NC_001803.1","Respiratory syncytial virus","National Center for Biotechnology Information, NIH",NA,"ssRNA(-)",15191,"complete",NA,NA,"Respiratory syncytial virus, complete genome",NA,NA,NA,NA,NA,NA,NA,"A","unassigned"
"1","OR795349.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/15-01353/2014","ssRNA(-)",15243,"complete","Germany",2014-12-27,"Human respiratory syncytial virus A isolate hRSV/A/Germany/15-01353/2014, complete genome",2014,12,2014,52,7,"2014/2015","A","A.D","GA2.3.5"
"2","OR795350.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/15-01870/2015","ssRNA(-)",15262,"complete","Germany",2015-01-20,"Human respiratory syncytial virus A isolate hRSV/A/Germany/15-01870/2015, complete genome",2015,1,2015,3,3,"2014/2015","A","A.D","GA2.3.5"
"4","OR795352.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/16-00842/2015","ssRNA(-)",15244,"complete","Germany",2015-12-14,"Human respiratory syncytial virus A isolate hRSV/A/Germany/16-00842/2015, complete genome",2015,12,2015,50,2,"2015/2016","A","A.D","GA2.3.5"
"5","OR795353.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/16-01800/2016","ssRNA(-)",15246,"complete","Germany",2016-02-02,"Human respiratory syncytial virus A isolate hRSV/A/Germany/16-01800/2016, complete genome",2016,2,2016,5,3,"2015/2016","A","A.D","GA2.3.5"
"6","OR795354.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/16-02403/2016","ssRNA(-)",15255,"complete","Germany",2016-02-25,"Human respiratory syncytial virus A isolate hRSV/A/Germany/16-02403/2016, complete genome",2016,2,2016,8,5,"2015/2016","A","A.D","GA2.3.5"
"7","OR795355.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/17-00876/2016","ssRNA(-)",15174,"complete","Germany",2016-11-30,"Human respiratory syncytial virus A isolate hRSV/A/Germany/17-00876/2016, complete genome",2016,11,2016,48,4,"2016/2017","A","A.D.5","GA2.3.5"
"8","OR795356.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/17-01161/2016","ssRNA(-)",15238,"complete","Germany",2016-12-13,"Human respiratory syncytial virus A isolate hRSV/A/Germany/17-01161/2016, complete genome",2016,12,2016,50,3,"2016/2017","A","A.D.1","GA2.3.5"
"9","OR795357.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/17-01795/2017","ssRNA(-)",15270,"complete","Germany",2017-01-09,"Human respiratory syncytial virus A isolate hRSV/A/Germany/17-01795/2017, complete genome",2017,1,2017,2,2,"2016/2017","A","A.D.2.2","GA2.3.5"
"10","OR795358.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/17-02326/2017","ssRNA(-)",15263,"complete","Germany",2017-01-23,"Human respiratory syncytial virus A isolate hRSV/A/Germany/17-02326/2017, complete genome",2017,1,2017,4,2,"2016/2017","A","A.D","GA2.3.5"
