"Accession","Organism_Name","Organization","Org_location","Isolate","Molecule_type","Length","Nuc_Completeness","Country","Collection_Date","GenBank_Title","MMWRyear","MMWRweek","Collection_Season","Type","clade","G_clade"
"LR699315.1","Human respiratory syncytial virus A","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15276,"partial","United Kingdom",2018-01-11,"Human respiratory syncytial virus B cRNA",2018,2,"2017/2018","A","A.D.1","GA2.3.5"
"LR699734.1","Human respiratory syncytial virus A","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15275,"partial","United Kingdom",2018-01-18,"Human respiratory syncytial virus B cRNA",2018,3,"2017/2018","A","A.D","GA2.3.5"
"LR699736.1","Human respiratory syncytial virus A","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15276,"partial","United Kingdom",2018-01-08,"Human respiratory syncytial virus B cRNA",2018,2,"2017/2018","A","A.D.1","GA2.3.5"
"LR699737.1","Human respiratory syncytial virus A","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15274,"partial","United Kingdom",2017-12-19,"Human respiratory syncytial virus B cRNA",2017,51,"2017/2018","A","A.D.2.2.1","GA2.3.5"
"MT422269.1","Human respiratory syncytial virus A","Federal Research Center of Fundamental and Translational Medicine, Department of Experimental Modeling and Pathogenesis of Infectious Diseases","Russia","","ssRNA(-)",14935,"complete","Russia",2019-11-28,"Human respiratory syncytial virus A strain RSVA/Novosibirsk/108Hp/2019, complete genome",2019,48,"2019/2020","A","A.D.3","GA2.3.5"
"MT422270.1","Human respiratory syncytial virus A","Federal Research Center of Fundamental and Translational Medicine, Department of Experimental Modeling and Pathogenesis of Infectious Diseases","Russia","","ssRNA(-)",14963,"complete","Russia",2019-12-06,"Human respiratory syncytial virus A strain RSVA/Novosibirsk/138Hp/2019, complete genome",2019,49,"2019/2020","A","A.D.3","GA2.3.5"
"MT422271.1","Human respiratory syncytial virus A","Federal Research Center of Fundamental and Translational Medicine, Department of Experimental Modeling and Pathogenesis of Infectious Diseases","Russia","","ssRNA(-)",14961,"complete","Russia",2019-12-12,"Human respiratory syncytial virus A strain RSVA/Novosibirsk/893Hp/2019, complete genome",2019,50,"2019/2020","A","A.D.3","GA2.3.5"
"MT422272.1","Human respiratory syncytial virus A","Federal Research Center of Fundamental and Translational Medicine, Department of Experimental Modeling and Pathogenesis of Infectious Diseases","Russia","","ssRNA(-)",14961,"complete","Russia",2019-12-12,"Human respiratory syncytial virus A strain RSVA/Novosibirsk/893Hl/2019, complete genome",2019,50,"2019/2020","A","A.D.3","GA2.3.5"
"MT422273.1","Human respiratory syncytial virus A","Federal Research Center of Fundamental and Translational Medicine, Department of Experimental Modeling and Pathogenesis of Infectious Diseases","Russia","","ssRNA(-)",14961,"complete","Russia",2019-12-02,"Human respiratory syncytial virus A strain RSVA/Novosibirsk/1125Hp/2019, complete genome",2019,49,"2019/2020","A","A.D.3","GA2.3.5"
"MW582528.1","Human respiratory syncytial virus A","RIZ, University of Veterinary Medicine","Germany","594","ssRNA(-)",15277,"complete","Germany",2015-03-15,"Human respiratory syncytial virus A isolate 0594, complete genome",2015,11,"2014/2015","A","A.D","GA2.3.5"
"MZ151852.1","Human respiratory syncytial virus A","The Federal Research Center of Fundamental and Translational Medicine, Eurasian Institute of zoonotic infections","Russia","","ssRNA(-)",14963,"complete","Russia",2020-01-30,"Human respiratory syncytial virus A strain RSVA/Novosibirsk/8.62Hp/2020, complete genome",2020,5,"2019/2020","A","A.D.3","GA2.3.5"
"MZ151853.1","Human respiratory syncytial virus A","The Federal Research Center of Fundamental and Translational Medicine, Eurasian Institute of zoonotic infections","Russia","","ssRNA(-)",14891,"complete","Russia",2020-01-30,"Human respiratory syncytial virus A strain RSVA/Novosibirsk/8.62Hl/2020, complete genome",2020,5,"2019/2020","A","A.D.3","GA2.3.5"
"MZ151854.1","Human respiratory syncytial virus A","The Federal Research Center of Fundamental and Translational Medicine, Eurasian Institute of zoonotic infections","Russia","","ssRNA(-)",14959,"complete","Russia",2020-01-27,"Human respiratory syncytial virus A strain RSVA/Novosibirsk/8.46Hl/2020, complete genome",2020,5,"2019/2020","A","A.D.1","GA2.3.5"
"MZ151855.1","Human respiratory syncytial virus A","The Federal Research Center of Fundamental and Translational Medicine, Eurasian Institute of zoonotic infections","Russia","","ssRNA(-)",14959,"complete","Russia",2020-01-24,"Human respiratory syncytial virus A strain RSVA/Novosibirsk/7.63Hl/2020, complete genome",2020,4,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515551.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8811-V01","ssRNA(-)",15276,"partial","United Kingdom",2018-12-06,"Human respiratory syncytial virus A isolate OX02-8811-V01, partial genome",2018,49,"2018/2019","A","A.D.5","GA2.3.5"
"MZ515555.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8017-V01","ssRNA(-)",15280,"complete","United Kingdom",2019-11-27,"Human respiratory syncytial virus A isolate OX02-8017-V01, complete genome",2019,48,"2019/2020","A","A.D.3","GA2.3.5"
"MZ515556.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8247-V01","ssRNA(-)",14802,"partial","United Kingdom",2018-12-05,"Human respiratory syncytial virus A isolate OX02-8247-V01, partial genome",2018,49,"2018/2019","A","A.D","GA2.3.5"
"MZ515559.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8032-V01","ssRNA(-)",15274,"complete","United Kingdom",2018-11-08,"Human respiratory syncytial virus A isolate OX02-8032-V01, complete genome",2018,45,"2018/2019","A","A.D.2.2","GA2.3.5"
"MZ515564.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0055-D02","ssRNA(-)",15254,"complete","Netherlands",2018-11-21,"Human respiratory syncytial virus A isolate UU02-0055-D02, complete genome",2018,47,"2018/2019","A","A.D","GA2.3.5"
"MZ515566.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX01A-8214-V02","ssRNA(-)",15277,"complete","United Kingdom",2019-11-08,"Human respiratory syncytial virus A isolate OX01A-8214-V02, complete genome",2019,45,"2019/2020","A","A.D.2.2","GA2.3.5"
"MZ515567.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9571-V01","ssRNA(-)",15277,"complete","United Kingdom",2019-12-15,"Human respiratory syncytial virus A isolate OX02-9571-V01, complete genome",2019,51,"2019/2020","A","A.D.5.1","GA2.3.5"
"MZ515568.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0154-V01","ssRNA(-)",15280,"complete","Netherlands",2019-12-23,"Human respiratory syncytial virus A isolate UU02-0154-V01, complete genome",2019,52,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515569.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8889-V01","ssRNA(-)",15274,"complete","United Kingdom",2018-11-27,"Human respiratory syncytial virus A isolate OX02-8889-V01, complete genome",2018,48,"2018/2019","A","A.D.2.2.1","GA2.3.5"
"MZ515570.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0101-V01","ssRNA(-)",15274,"complete","Spain",2019-11-29,"Human respiratory syncytial virus A isolate SE02-0101-V01, complete genome",2019,48,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515571.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9011-V01","ssRNA(-)",15276,"complete","United Kingdom",2020-01-03,"Human respiratory syncytial virus A isolate OX02-9011-V01, complete genome",2020,1,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515572.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0092-D04","ssRNA(-)",15277,"complete","Netherlands",2018-12-24,"Human respiratory syncytial virus A isolate UU02-0092-D04, complete genome",2018,52,"2018/2019","A","A.D.2.2","GA2.3.5"
"MZ515573.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9657-V01","ssRNA(-)",15276,"complete","United Kingdom",2020-02-13,"Human respiratory syncytial virus A isolate OX02-9657-V01, complete genome",2020,7,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515575.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","IM02-0033-V01","ssRNA(-)",15274,"complete","United Kingdom",2018-11-30,"Human respiratory syncytial virus A isolate IM02-0033-V01, complete genome",2018,48,"2018/2019","A","A.D.2.2.1","GA2.3.5"
"MZ515576.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0018-D05","ssRNA(-)",15273,"complete","Spain",2019-12-16,"Human respiratory syncytial virus A isolate SE02-0018-D05, complete genome",2019,51,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515577.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8720-V01","ssRNA(-)",15273,"partial","United Kingdom",2020-01-09,"Human respiratory syncytial virus A isolate OX02-8720-V01, partial genome",2020,2,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515579.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0002-D02","ssRNA(-)",15272,"complete","Spain",2018-12-25,"Human respiratory syncytial virus A isolate SE02-0002-D02, complete genome",2018,52,"2018/2019","A","A.D.1","GA2.3.5"
"MZ515580.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0161-D04","ssRNA(-)",15273,"complete","Netherlands",2019-12-27,"Human respiratory syncytial virus A isolate UU02-0161-D04, complete genome",2019,52,"2019/2020","A","A.D.2.1","GA2.3.5"
"MZ515582.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX01A-8668-V02","ssRNA(-)",15276,"partial","United Kingdom",2019-10-10,"Human respiratory syncytial virus A isolate OX01A-8668-V02, partial genome",2019,41,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515583.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0154-V02","ssRNA(-)",15276,"complete","Spain",2019-12-23,"Human respiratory syncytial virus A isolate SE01A-0154-V02, complete genome",2019,52,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515585.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0002-D03","ssRNA(-)",15275,"complete","Spain",2018-12-26,"Human respiratory syncytial virus A isolate SE02-0002-D03, complete genome",2018,52,"2018/2019","A","A.D.1","GA2.3.5"
"MZ515588.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0003-D02","ssRNA(-)",15280,"complete","Spain",2019-01-04,"Human respiratory syncytial virus A isolate SE02-0003-D02, complete genome",2019,1,"2018/2019","A","A.D.2.2.1","GA2.3.5"
