"","Accession","Organism_Name","Organization","Org_location","Isolate","Molecule_type","Length","Nuc_Completeness","Country","Collection_Date","GenBank_Title","Collection_Year","Collection_Month","MMWRyear","MMWRweek","MMWRday","Collection_Season","Type"
"1425","KY249681.1","Human respiratory syncytial virus B","Public Health England National Infection Services, Reference Microbiology","United Kingdom","RSVB/England138/2016","ssRNA(-)",15247,"complete","United Kingdom",2016-01-05,"Human respiratory syncytial virus B isolate RSVB/England138/2016, complete genome",2016,1,2016,1,3,"2015/2016","B"
"1426","KY249682.1","Human respiratory syncytial virus B","Public Health England National Infection Services, Reference Microbiology","United Kingdom","RSVB/England136/2016","ssRNA(-)",15226,"complete","United Kingdom",2016-01-10,"Human respiratory syncytial virus B isolate RSVB/England136/2016, complete genome",2016,1,2016,2,1,"2015/2016","B"
"1427","KY249683.1","Human respiratory syncytial virus B","Public Health England National Infection Services, Reference Microbiology","United Kingdom","RSVB/England133/2016","ssRNA(-)",15223,"complete","United Kingdom",2016-01-04,"Human respiratory syncytial virus B isolate RSVB/England133/2016, complete genome",2016,1,2016,1,2,"2015/2016","B"
"1","LR699315.1","Human respiratory syncytial virus A","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15276,"partial","United Kingdom",2018-01-11,"Human respiratory syncytial virus B cRNA",2018,1,2018,2,5,"2017/2018","A"
"1409","LR699726.1","Human respiratory syncytial virus B","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15275,"partial","United Kingdom",2017-12-21,"Human respiratory syncytial virus B cRNA",2017,12,2017,51,5,"2017/2018","B"
"2","LR699734.1","Human respiratory syncytial virus A","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15275,"partial","United Kingdom",2018-01-18,"Human respiratory syncytial virus B cRNA",2018,1,2018,3,5,"2017/2018","A"
"1410","LR699735.1","Human respiratory syncytial virus B","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15276,"partial","United Kingdom",2017-12-20,"Human respiratory syncytial virus B cRNA",2017,12,2017,51,4,"2017/2018","B"
"3","LR699736.1","Human respiratory syncytial virus A","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15276,"partial","United Kingdom",2018-01-08,"Human respiratory syncytial virus B cRNA",2018,1,2018,2,2,"2017/2018","A"
"4","LR699737.1","Human respiratory syncytial virus A","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15274,"partial","United Kingdom",2017-12-19,"Human respiratory syncytial virus B cRNA",2017,12,2017,51,3,"2017/2018","A"
"1411","LR699738.1","Human respiratory syncytial virus B","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15274,"partial","Spain",2018-01-03,"Human respiratory syncytial virus B cRNA",2018,1,2018,1,4,"2017/2018","B"
